Price,Close,High,Low,Open,Volume
2020-01-02,5.972710609436035,5.972710609436035,5.893293961011548,5.943831871358628,237536000
2020-01-03,5.87711238861084,5.920928852475165,5.828067864414396,5.852963593311093,205384000
2020-01-06,5.901756763458252,5.906984821965861,5.757611450407676,5.7837517429457215,262636000
2020-01-07,5.973208427429199,6.019016389767921,5.885077875706448,5.930138904576814,314856000
2020-01-08,5.984411716461182,6.0257385544708075,5.928894566530886,5.96897635709519,277108000
2020-01-09,6.050136566162109,6.122582947244449,5.996362099222445,6.070799986533216,255112000
2020-01-10,6.082499027252197,6.187807606735664,6.068308718247157,6.157435008191646,316296000
2020-01-13,6.273200511932373,6.298345055146926,6.142996195216413,6.165651593424438,319840000
2020-01-14,6.156191825866699,6.255774255425361,6.142996791879736,6.230380415366528,359088000
2020-01-15,6.113619327545166,6.191293757279299,6.087727850967122,6.168887653515744,263104000
2020-01-16,6.197268962860107,6.203243955725435,6.143743321457783,6.1671451789942955,284192000
2020-01-17,6.205983638763428,6.2239086209512555,6.158432980698133,6.216439759661358,253792000
2020-01-21,6.1726226806640625,6.206231838269314,6.138515409122078,6.1693861271914585,217916000
2020-01-22,6.226646423339844,6.313283116105959,6.199012256697566,6.217932990150522,239240000
2020-01-23,6.295109272003174,6.303573885569527,6.17785115411572,6.266728646869447,244516000
2020-01-24,6.2358574867248535,6.460416175717536,6.181584910751475,6.41062472577295,373512000
2020-01-27,5.9799299240112305,6.030965942113954,5.781511549702129,5.931134231306107,470536000
2020-01-28,6.173369407653809,6.20573351675792,5.992626706174366,6.045903527531865,310976000
2020-01-29,6.112873077392578,6.195028635711511,6.073039633351887,6.158929858989713,258848000
2020-01-30,6.119594097137451,6.13303794884411,5.960013412079757,6.015032441667756,290504000
2020-01-31,5.886074066162109,6.085737042120204,5.84424958759745,6.073787055431306,370420000
2020-02-03,5.983166694641113,6.002585064742657,5.8616758097780455,5.867899621997954,255564000
2020-02-04,6.152455806732178,6.171625829766046,6.075030680633214,6.1250709413984925,271544000
2020-02-05,6.242827415466309,6.283656133161831,6.159426818954342,6.27344883502635,208220000
2020-02-06,6.329713821411133,6.329713821411133,6.196024598039428,6.277184406097356,218284000
2020-02-07,6.263491630554199,6.311789213380991,6.238097791730746,6.289631928007941,189752000
2020-02-10,6.546804428100586,6.5475508867773335,6.2811677060194615,6.286146946276699,529608000
2020-02-11,6.6692914962768555,6.784060482867005,6.593110914570707,6.655101181977298,638556000
2020-02-12,6.785055160522461,6.791528267665657,6.683231931565286,6.722069149885042,374644000
2020-02-13,6.741237640380859,6.80845594706102,6.699661988989288,6.72704733056559,528016000
2020-02-14,7.214504718780518,7.343463996208165,7.1201503522332965,7.151518709617909,1041924000
2020-02-18,7.383296489715576,7.401719581619784,7.091768795845745,7.111187165873342,620164000
2020-02-19,7.834654808044434,7.852330967951495,7.505783739325234,7.505783739325234,694332000
